country,GDP_billion,trade_billion,influence_sensitivity,GHG_ktCO2,tCO2_per_capita
"Afghanistan, Islamic Republic of",17.329,6.61885201358,0.381952335021063,29460.05,0.72
Albania,22.822,13.90787271666,0.609406393684165,7673.67,2.6
Algeria,240.064,102.28117229,0.426057935758798,256792.13,5.68
American Samoa,0.825420271392861,0.199313101,0.241468628658305,646.14,3.17
Angola,109.678,53.50578351834,0.487844267021098,67700.76,1.87
"Anguilla, United Kingdom-British Overseas Territory",1.02582102435558,0.247703596,0.241468628658305,26.21,1.64
Antigua and Barbuda,2.044,1.7413532827,0.851934091340509,388.56,3.6
Argentina,645.511,153.66598791188,0.238053244502232,365684.62,7.83
"Armenia, Republic of",24.086,18.93765248,0.78625145229594,10836.34,3.69
"Aruba, Kingdom of the Netherlands",3.945,1.69416575,0.429446324461344,150745.8,8.7
Australia,1740.622,899.207496295389,0.516601247310093,571839.85,21.75
Austria,517.662,449.258175015,0.867860061227209,72921.49,8.25
"Azerbaijan, Republic of",72.356,49.747102114,0.687532507518381,62550.29,6.06
"Bahamas, The",14.338,10.268588695001,0.716179989887083,2050.28,4.92
"Bahrain, Kingdom of",46.08,37.115319732661,0.805453987253928,63733.86,35.25
Bangladesh,451.534,115.74777546,0.256343432521139,281380.53,1.61
Barbados,6.721,2.261426316123,0.336471703038685,989.04,3.42
"Belarus, Republic of",71.792,81.140737379,1.13021976514096,84277.6,9.01
Belgium,632.399,1099.347617552,1.73837659065242,106370.19,9.05
Belize,3.069,1.926282982814,0.627658189251874,920.35,2.19
Benin,19.679,6.48279806413,0.329427209925809,16699.49,1.27
Bermuda,11.9218903755554,2.87876252,0.241468628658305,378.84,6.31
Bhutan,2.908,1.901123172,0.653756248968363,3254.86,3.78
Bolivia,45.468,21.08969834779,0.4638360681752,55185.65,4.59
Bosnia and Herzegovina,27.055,22.69084607283,0.838693257173535,29397.99,8.46
Botswana,19.396,12.189842058,0.628471955970303,12712.76,5.01
Brazil,2173.671,849.540616673001,0.390832198926609,1300168.87,5.97
Brunei Darussalam,15.126,19.398282885,1.28244630999603,12157.94,26.43
Bulgaria,101.611,99.593335658,0.980143248841169,53372.28,7.86
Burkina Faso,20.283,8.29610912077,0.40901785341271,34456.82,1.52
Burundi,4.241,1.045870376,0.246609378920066,7049.14,0.54
Cabo Verde,2.588,1.207737962,0.466668455177743,1231.52,2.09
Cambodia,43.304,55.934587228,1.29167252974321,48774.83,2.81
Cameroon,49.287,14.0030108199,0.284111648505691,39377.19,1.41
Canada,2142.471,1687.05672989185,0.787435036409758,747678.03,19.39
Central African Republic,2.631,0.635303962,0.241468628658305,12502.62,2.38
Chad,17.605,5.226026435727,0.296848988112866,95377.32,5.37
Chile,335.642,184.64925389863,0.550137509306434,121463.13,6.44
"China, People's Republic of",17758.046,5813.676036981,0.327382643168117,15943986.55,11.11
Colombia,363.57,115.1067533157,0.316601351364799,223966.63,4.37
"Comoros, Union of the",1.34,0.507206004,0.378511943283582,2920.7,3.19
"Congo, Democratic Republic of the",66.923,42.83956202186,0.640132122317589,56105.91,0.57
"Congo, Republic of",14.169,14.509309954,1.02401792321265,1000,2
Costa Rica,86.509,41.61256087821,0.481020019630443,16468.14,3.19
"Croatia, Republic of",82.711,67.34341543531,0.81420144158951,25013.48,6.18
Cuba,25.760409741475,6.22033081395,0.241468628658305,39400.33,3.42
"Curaçao, Kingdom of the Netherlands",5.55245615734724,1.340743974,0.241468628658305,1000,2
Cyprus,32.239,19.88931420948,0.616933348102609,10324.66,8.38
Czech Republic,343.208,473.150644612,1.37861193390597,114438.42,10.77
Côte d'Ivoire,78.887,37.075906415,0.46998753172259,1000,2
Denmark,407.092,257.554535661,0.632669115730596,41831.47,7.13
Djibouti,4.011,15.016781580117,3.74389967093418,2132.41,2.05
Dominica,0.654,0.462091661177,0.706562173053517,146.92,1.93
Dominican Republic,121.785,67.284476084316,0.55248574195768,48396.21,4.23
Ecuador,118.845,59.1647020077,0.497830804894611,73604.61,4.08
"Egypt, Arab Republic of",393.828,126.700724335,0.321715886973501,335968.05,3.11
El Salvador,34.016,19.91845362788,0.585561313143227,13051.31,1.98
"Equatorial Guinea, Republic of",11.975,5.811714605,0.485320635073069,28634.66,1.93
"Eritrea, The State of",3.49357159877997,0.843587943077,0.241468628658305,6401.82,1.1
"Estonia, Republic of",41.297,44.4113445186,1.07541333555948,14363.97,11.14
"Eswatini, Kingdom of",4.856,5.436807100115,1.1196060749825,3289.55,2.18
"Ethiopia, The Federal Democratic Republic of",159.747,14.77345568591,0.0924803325628024,170033.85,1.41
Falkland Islands (Malvinas),2.20250403936565,0.53183563,0.241468628658305,172.39,57.46
Faroe Islands,17.4478880756053,4.2131176066,0.241468628658305,50.7,0.99
"Fiji, Republic of",5.442,3.618581859,0.664936027012128,3400.99,3.61
Finland,295.618,166.267334995,0.562439820968277,43453.54,7.71
France,3052.712,1458.894352449,0.477901076960093,385520.12,5.81
French Polynesia,7.62571841001206,1.841371767,0.241468628658305,1374.56,4.66
Gabon,20.059,16.347675524,0.814979586420061,21402.08,9.37
"Gambia, The",2.361,5.168093858,2.18894276069462,1888.8,0.76
Georgia,30.536,22.535834827,0.738008738112392,19049.15,4.93
Germany,4527.009,3251.433138945,0.718229881792813,681810.33,8.26
Ghana,76.402,39.9218912268,0.522524164639669,48265.93,1.48
Gibraltar,49.4121062623993,11.9314735383,0.241468628658305,712.37,20.35
Greece,238.275,149.292453122,0.626555253895708,69266.03,6.29
Greenland,9.08979162772294,2.194899519136,0.241468628658305,647.26,11.36
Grenada,1.324,0.504875571,0.381325959969789,200.41,1.81
Guam,6.42120975555005,1.550520714,0.241468628658305,1000,2
Guatemala,104.436,43.1855459008,0.413512063855375,43981.07,2.33
Guinea,23.005,12.26975466826,0.533351648261683,1000,2
Guinea-Bissau,2.005,1.007638336954,0.502562761573067,2997.48,1.4
Guyana,17.05,13.772466513789,0.807769296996423,8190.99,10.2
Haiti,19.603,4.942952662,0.252152867520277,13656.96,1.16
Holy See,0.195736387217746,0.047264197,0.241468628658305,1000,2
Honduras,34.229,23.3820031776,0.683105062303894,22920.14,2.26
"Hong Kong Special Administrative Region, People's Republic of China",380.812,1140.987115479,2.99619527609161,40167.76,5.23
Hungary,212.464,312.330486803,1.47003956812919,60926.77,6.4
Iceland,31.325,15.364001802322,0.490470927448428,4171.94,11.89
India,3567.552,1081.240946689,0.303076436360002,4133554.36,2.9
