"GHG emissions
2023",Country/Territory/Region/Group,"GHG emissions
per capita
2023"
ktCO2,Country/Territory/Region/Group,tCO2
15943986.55,China,11.11
5960804.38,United States,17.61
4133554.36,India,2.90
2672039.44,Russia,18.66
1300168.87,Brazil,5.97
1200199.79,Indonesia,4.29
1041012.82,Japan,8.31
996752.68,Iran,11.64
805158.11,Saudi Arabia,22.17
747678.03,Canada,19.39
712102.10,Mexico,5.15
681810.33,Germany,8.26
653846.14,South Korea,12.58
606429.86,Turkey,7.10
571839.85,Australia,21.75
532374.48,Pakistan,2.43
524133.46,Vietnam,5.19
522115.49,South Africa,8.61
440783.01,Thailand,6.33
385520.12,France and  Monaco,5.81
385112.88,Nigeria,1.73
379318.59,United Kingdom,5.55
374124.19,"Italy,  San Marino and  Holy See",6.36
365684.62,Argentina,7.83
363794.25,Poland,9.67
362784.80,Iraq,8.08
335968.05,Egypt,3.11
325405.85,Malaysia,9.53
320349.98,Kazakhstan,16.60
308000.43,Taiwan,12.85
285383.90,Spain and  Andorra,6.15
281380.53,Bangladesh,1.61
267823.19,United Arab Emirates,26.29
256792.13,Algeria,5.68
256147.15,Philippines,2.24
223966.63,Colombia,4.37
216092.81,Ukraine,5.04
214531.38,Uzbekistan,6.23
170033.85,Ethiopia,1.41
167915.77,Kuwait,37.45
154383.57,Qatar,52.57
152389.92,Venezuela,4.44
150745.80,Netherlands,8.70
138741.57,Sudan and  South Sudan,2.23
127443.02,Oman,23.43
121463.13,Chile,6.44
115077.25,Myanmar,2.05
114438.42,Czech Republic,10.77
107976.91,Kenya,1.88
106602.23,Morocco,2.78
106370.19,Belgium,9.05
105852.40,Romania,5.54
98794.12,Turkmenistan,15.73
95929.77,Libya,13.91
95377.32,Chad,5.37
94048.68,Peru,2.73
90148.48,North Korea,3.45
89815.44,Tanzania,1.31
84277.60,Belarus,9.01
84209.81,New Zealand,16.99
83704.56,Mongolia,25.14
79578.17,Israel and  State of Palestine,5.36
74290.13,Singapore,12.22
73604.61,Ecuador,4.08
72921.49,Austria,8.25
69266.03,Greece,6.29
67700.76,Angola,1.87
67214.99,Serbia and  Montenegro,7.28
63733.86,Bahrain,35.25
62550.29,Azerbaijan,6.06
60926.77,Hungary,6.40
57853.27,Ireland,11.58
56830.98,Nepal,1.82
56717.10,Norway,10.12
56105.91,Democratic Republic of the Congo,0.57
55185.65,Bolivia,4.59
53372.28,Bulgaria,7.86
53370.99,Uganda,1.03
53004.61,Portugal,5.24
49118.37,Sweden,4.76
48774.83,Cambodia,2.81
48396.21,Dominican Republic,4.23
48265.93,Ghana,1.48
45463.10,Mali,2.05
44775.61,Slovakia,8.22
43981.07,Guatemala,2.33
43578.53,Tunisia,3.56
43453.54,Finland,7.71
43446.39,Switzerland and  Liechtenstein,4.91
42334.09,Niger,1.57
42056.21,Laos,5.65
41831.47,Denmark,7.13
41634.11,Uruguay,11.80
41624.56,Paraguay,5.69
41210.58,Syria,1.92
40167.76,Hong Kong,5.23
39400.33,Cuba,3.42
39377.19,Cameroon,1.41
38403.85,Sri Lanka,1.81
34456.82,Burkina Faso,1.52
34187.02,Trinidad and Tobago,24.76
33953.98,Mozambique,0.97
33407.71,Jordan,3.19
33150.78,Madagascar,1.11
32499.94,Somalia,1.85
32242.87,Yemen,1.00
32184.01,Ivory Coast,1.14
31019.31,Zimbabwe,1.65
30484.45,Zambia,1.50
29460.05,Afghanistan,0.72
29397.99,Bosnia and Herzegovina,8.46
28843.73,Senegal,1.55
28634.66,Guinea,1.93
25013.48,Croatia,6.18
24672.32,Lebanon,4.27
23702.01,Congo,3.86
22920.14,Honduras,2.26
21698.23,Kyrgyzstan,3.32
21438.12,Tajikistan,2.14
21402.08,Gabon,9.37
21281.69,Panama,4.76
20683.66,Lithuania,7.35
20628.27,Nicaragua,3.12
19714.05,Malawi,0.89
19049.15,Georgia,4.93
16699.49,Benin,1.27
16509.27,Mauritania,3.20
16468.14,Costa Rica,3.19
16063.99,Puerto Rico,4.42
15993.52,Slovenia,7.69
14363.97,Estonia,11.14
13656.96,Haiti,1.16
13542.41,Moldova,3.41
13051.31,El Salvador,1.98
12885.68,Namibia,4.50
12712.76,Botswana,5.01
12502.62,Central African Republic,2.38
12157.94,Brunei,26.43
11370.03,North Macedonia,5.44
10957.49,Latvia,5.95
10836.34,Armenia,3.69
10612.91,Togo,1.18
10324.66,Cyprus,8.38
9641.00,Papua New Guinea,1.04
8190.99,Guyana,10.20
8162.92,Jamaica,2.79
7860.93,Luxembourg,12.54
7673.67,Albania,2.60
7493.27,Rwanda,0.54
7049.14,Burundi,0.54
6982.10,Equatorial Guinea,4.52
6937.72,Sierra Leone,0.81
6614.22,New Caledonia,22.27
6401.82,Eritrea,1.10
6198.74,Mauritius,4.84
4532.39,Liberia,0.82
4171.94,Iceland,11.89
3737.72,Suriname,6.32
3400.99,Fiji,3.61
3289.55,Eswatini,2.18
3254.86,Bhutan,3.78
3119.01,Macao,4.57
3087.95,Maldives,6.45
2997.48,Guinea-Bissau,1.40
2920.70,Réunion,3.19
2601.92,Lesotho,1.08
2532.14,Curaçao,15.25
2132.41,Djibouti,2.05
2050.28,Bahamas,4.92
2033.87,Malta,4.65
2007.18,East Timor,1.36
1888.80,The Gambia,0.76
1501.65,Palau,65.29
1462.23,Guadeloupe,3.26
1374.56,French Polynesia,4.66
1338.71,Seychelles,13.80
1231.52,Cape Verde,2.09
1218.42,Martinique,3.16
989.04,Barbados,3.42
920.35,Belize,2.19
761.77,Comoros,0.82
720.82,Solomon Islands,1.05
712.37,Gibraltar,20.35
684.80,Western Sahara,1.07
670.21,Vanuatu,2.15
647.26,Greenland,11.36
646.14,Samoa,3.17
573.39,French Guiana,1.76
561.50,Aruba,5.20
451.27,Saint Lucia,2.47
390.14,Cayman Islands,5.91
388.56,Antigua and Barbuda,3.60
378.84,Bermuda,6.31
342.11,Tonga,3.03
303.45,São Tomé and Príncipe,1.30
200.41,Grenada,1.81
174.47,Saint Kitts and Nevis,3.01
172.39,Falkland Islands,57.46
154.32,Cook Islands,9.08
150.78,Saint Vincent and the Grenadines,1.36
146.92,Dominica,1.93
130.18,Kiribati,1.02
110.25,Turks and Caicos Islands,2.90
91.07,British Virgin Islands,2.68
50.70,Faroe Islands,0.99
46.57,Saint Pierre and Miquelon,6.65
26.21,Anguilla,1.64
21.27,"Saint Helena, Ascension and Tristan da Cunha",5.32
52962900.86,Global Total,6.59
3221794.61,European Union,7.26
