Original,BestMatch,Confidence
"China","China, People's Republic of","Perfect match (100% coverage)"
"United States","United States","Perfect match (100% coverage)"
"India","India","Perfect match (100% coverage)"
"Russia","Russian Federation","Perfect match (100% coverage)"
"Brazil","Brazil","Perfect match (100% coverage)"
"Indonesia","Indonesia","Perfect match (100% coverage)"
"Japan","Japan","Perfect match (100% coverage)"
"Iran","Iran, Islamic Republic of","Perfect match (100% coverage)"
"Saudi Arabia","Saudi Arabia","Perfect match (100% coverage)"
"Canada","Canada","Perfect match (100% coverage)"
"Mexico","Mexico","Perfect match (100% coverage)"
"Germany","Germany","Perfect match (100% coverage)"
"South Korea","South Africa","Coverage: 54.5%"
"Turkey","Turkmenistan","Coverage: 66.7%"
"Australia","Australia","Perfect match (100% coverage)"
"Pakistan","Pakistan","Perfect match (100% coverage)"
"Vietnam","Vietnam","Perfect match (100% coverage)"
"South Africa","South Africa","Perfect match (100% coverage)"
"Thailand","Thailand","Perfect match (100% coverage)"
"France and  Monaco","France","Coverage: 33.3%"
"Nigeria","Nigeria","Perfect match (100% coverage)"
"United Kingdom","Anguilla, United Kingdom-British Overseas Territory","Perfect match (100% coverage)"
"Italy,  San Marino and  Holy See","San Marino, Republic of","Coverage: 31.2%"
"Argentina","Argentina","Perfect match (100% coverage)"
"Poland","Poland, Republic of","Perfect match (100% coverage)"
"Iraq","Iraq","Perfect match (100% coverage)"
"Egypt","Egypt, Arab Republic of","Perfect match (100% coverage)"
"Malaysia","Malaysia","Perfect match (100% coverage)"
"Kazakhstan","Kazakhstan, Republic of","Perfect match (100% coverage)"
"Taiwan","Botswana","Coverage: 50.0%"
"Spain and  Andorra","Antigua and Barbuda","Coverage: 27.8%"
"Bangladesh","Bangladesh","Perfect match (100% coverage)"
"United Arab Emirates","United Arab Emirates","Perfect match (100% coverage)"
"Algeria","Algeria","Perfect match (100% coverage)"
"Philippines","Philippines","Perfect match (100% coverage)"
"Colombia","Colombia","Perfect match (100% coverage)"
"Ukraine","Ukraine","Perfect match (100% coverage)"
"Uzbekistan","Uzbekistan, Republic of","Perfect match (100% coverage)"
"Ethiopia","Ethiopia, The Federal Democratic Republic of","Perfect match (100% coverage)"
"Kuwait","Kuwait","Perfect match (100% coverage)"
"Qatar","Qatar","Perfect match (100% coverage)"
"Venezuela","Venezuela, República Bolivariana de","Perfect match (100% coverage)"
"Netherlands","Aruba, Kingdom of the Netherlands","Perfect match (100% coverage)"
"Sudan and  South Sudan","South Sudan, Republic of","Coverage: 50.0%"
"Oman","Oman","Perfect match (100% coverage)"
"Chile","Chile","Perfect match (100% coverage)"
"Myanmar","Myanmar","Perfect match (100% coverage)"
"Czech Republic","Czech Republic","Perfect match (100% coverage)"
"Kenya","Kenya","Perfect match (100% coverage)"
"Morocco","Morocco","Perfect match (100% coverage)"
"Belgium","Belgium","Perfect match (100% coverage)"
"Romania","Romania","Perfect match (100% coverage)"
"Turkmenistan","Turkmenistan","Perfect match (100% coverage)"
"Libya","Libya","Perfect match (100% coverage)"
"Chad","Chad","Perfect match (100% coverage)"
"Peru","Peru","Perfect match (100% coverage)"
"North Korea","North Macedonia, Republic of","Coverage: 54.5%"
"Tanzania","Tanzania, United Republic of","Perfect match (100% coverage)"
"Belarus","Belarus, Republic of","Perfect match (100% coverage)"
"New Zealand","New Zealand","Perfect match (100% coverage)"
"Mongolia","Mongolia","Perfect match (100% coverage)"
"Israel and  State of Palestine","Eritrea, The State of","Coverage: 26.7%"
"Singapore","Singapore","Perfect match (100% coverage)"
"Ecuador","Ecuador","Perfect match (100% coverage)"
"Austria","Austria","Perfect match (100% coverage)"
"Greece","Greece","Perfect match (100% coverage)"
"Angola","Angola","Perfect match (100% coverage)"
"Serbia and  Montenegro","Montenegro","Coverage: 45.5%"
"Bahrain","Bahrain, Kingdom of","Perfect match (100% coverage)"
"Azerbaijan","Azerbaijan, Republic of","Perfect match (100% coverage)"
"Hungary","Hungary","Perfect match (100% coverage)"
"Ireland","Ireland","Perfect match (100% coverage)"
"Nepal","Nepal","Perfect match (100% coverage)"
"Norway","Norway","Perfect match (100% coverage)"
"Democratic Republic of the Congo","Congo, Democratic Republic of the","Coverage: 81.2%"
"Bolivia","Bolivia","Perfect match (100% coverage)"
"Bulgaria","Bulgaria","Perfect match (100% coverage)"
"Uganda","Uganda","Perfect match (100% coverage)"
"Portugal","Portugal","Perfect match (100% coverage)"
"Sweden","Sweden","Perfect match (100% coverage)"
"Cambodia","Cambodia","Perfect match (100% coverage)"
"Dominican Republic","Dominican Republic","Perfect match (100% coverage)"
"Ghana","Ghana","Perfect match (100% coverage)"
"Mali","Mali","Perfect match (100% coverage)"
"Slovakia","Slovak Republic","Coverage: 75.0%"
"Guatemala","Guatemala","Perfect match (100% coverage)"
"Tunisia","Tunisia","Perfect match (100% coverage)"
"Finland","Finland","Perfect match (100% coverage)"
"Switzerland and  Liechtenstein","Switzerland","Coverage: 36.7%"
"Niger","Niger","Perfect match (100% coverage)"
"Laos","Lao People's Democratic Republic","Coverage: 75.0%"
"Denmark","Denmark","Perfect match (100% coverage)"
"Uruguay","Uruguay","Perfect match (100% coverage)"
"Paraguay","Paraguay","Perfect match (100% coverage)"
"Syria","Syrian Arab Republic","Perfect match (100% coverage)"
"Hong Kong","Hong Kong Special Administrative Region, People's Republic of China","Perfect match (100% coverage)"
