"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","G001.NGDPD.A","OBS_VALUE","World","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","97402.909","101409.366","105685.121","110064.915","115494.312"
"IMF.RES:WEO(6.0.0)","ALB.GGXCNL_NGDP.A","OBS_VALUE","Albania","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.597","-3.658","-1.352","-2.194","-2.583"
"IMF.RES:WEO(6.0.0)","AFG.NGDPD.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.278","14.501","17.329","",""
"IMF.RES:WEO(6.0.0)","DZA.GGXCNL_NGDP.A","OBS_VALUE","Algeria","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.316","-2.963","-5.173","-9.281","-8.58"
"IMF.RES:WEO(6.0.0)","ALB.NGDPD.A","OBS_VALUE","Albania","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","17.984","19.083","22.822","26.13","27.993"
"IMF.RES:WEO(6.0.0)","AND.GGXCNL_NGDP.A","OBS_VALUE","Andorra, Principality of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.163","4.844","2.3","1.704","1.473"
"IMF.RES:WEO(6.0.0)","AFG.GGXCNL_NGDP.A","OBS_VALUE","Afghanistan, Islamic Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.485","-0.997","-1.358","",""
"IMF.RES:WEO(6.0.0)","DZA.NGDPD.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","185.884","225.631","240.064","260.134","264.27"
"IMF.RES:WEO(6.0.0)","ARG.NGDPD.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","486.04","632.318","645.511","604.382","574.201"
"IMF.RES:WEO(6.0.0)","ARG.GGXCNL_NGDP.A","OBS_VALUE","Argentina","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.333","-3.844","-5.362","-0.088","0.185"
"IMF.RES:WEO(6.0.0)","AGO.GGXCNL_NGDP.A","OBS_VALUE","Angola","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","3.399","0.584","-1.876","1.573","1.259"
"IMF.RES:WEO(6.0.0)","ATG.NGDPD.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.601","1.868","2.044","2.292","2.437"
"IMF.RES:WEO(6.0.0)","ATG.GGXCNL_NGDP.A","OBS_VALUE","Antigua and Barbuda","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.522","-2.841","-1.708","-1.111","-1.092"
"IMF.RES:WEO(6.0.0)","AGO.NGDPD.A","OBS_VALUE","Angola","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","84.375","141.941","109.678","113.286","118.409"
"IMF.RES:WEO(6.0.0)","AND.NGDPD.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.325","3.376","3.728","3.93","4.071"
"IMF.RES:WEO(6.0.0)","AUT.GGXCNL_NGDP.A","OBS_VALUE","Austria","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.769","-3.273","-2.647","-3.369","-3.3"
"IMF.RES:WEO(6.0.0)","AUT.NGDPD.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","479.614","471.374","517.662","535.804","559.218"
"IMF.RES:WEO(6.0.0)","BGD.NGDPD.A","OBS_VALUE","Bangladesh","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","416.265","460.201","451.534","451.468","481.856"
"IMF.RES:WEO(6.0.0)","ARM.NGDPD.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","13.879","19.514","24.086","25.251","26.578"
"IMF.RES:WEO(6.0.0)","ABW.NGDPD.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.103","3.545","3.945","4.258","4.445"
"IMF.RES:WEO(6.0.0)","ARM.GGXCNL_NGDP.A","OBS_VALUE","Armenia, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.584","-2.111","-2.027","-4.753","-5.497"
"IMF.RES:WEO(6.0.0)","BHR.GGXCNL_NGDP.A","OBS_VALUE","Bahrain, Kingdom of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-10.57","-5.123","-10.554","-7.654","-7.256"
"IMF.RES:WEO(6.0.0)","AZE.GGXCNL_NGDP.A","OBS_VALUE","Azerbaijan, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","4.205","5.962","7.928","1.03","0.695"
"IMF.RES:WEO(6.0.0)","BHS.NGDPD.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","11.369","13.136","14.338","14.825","15.342"
"IMF.RES:WEO(6.0.0)","AZE.NGDPD.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","54.825","78.807","72.356","75.649","77.041"
"IMF.RES:WEO(6.0.0)","BHR.NGDPD.A","OBS_VALUE","Bahrain, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","40.84","46.68","46.08","47.812","49.535"
"IMF.RES:WEO(6.0.0)","AUS.NGDPD.A","OBS_VALUE","Australia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1658.439","1724.034","1740.622","1802.006","1881.14"
"IMF.RES:WEO(6.0.0)","AUS.GGXCNL_NGDP.A","OBS_VALUE","Australia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.353","-2.187","-0.857","-1.661","-2.043"
"IMF.RES:WEO(6.0.0)","ABW.GGXCNL_NGDP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-9.161","-0.465","2.58","2.35","1.904"
"IMF.RES:WEO(6.0.0)","BHS.GGXCNL_NGDP.A","OBS_VALUE","Bahamas, The","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-13.089","-5.781","-3.802","-1.28","-0.697"
"IMF.RES:WEO(6.0.0)","BEN.GGXCNL_NGDP.A","OBS_VALUE","Benin","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.709","-5.555","-4.129","-3.7","-2.9"
"IMF.RES:WEO(6.0.0)","BLR.NGDPD.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","68.207","72.835","71.792","73.129","76.873"
"IMF.RES:WEO(6.0.0)","BEN.NGDPD.A","OBS_VALUE","Benin","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","17.699","17.439","19.679","21.322","23.066"
"IMF.RES:WEO(6.0.0)","BLZ.NGDPD.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.425","2.831","3.069","3.342","3.488"
"IMF.RES:WEO(6.0.0)","BRB.NGDPD.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.275","6.257","6.721","7.201","7.647"
"IMF.RES:WEO(6.0.0)","BLR.GGXCNL_NGDP.A","OBS_VALUE","Belarus, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.223","-2.068","0.705","1.095","0.808"
"IMF.RES:WEO(6.0.0)","BRB.GGXCNL_NGDP.A","OBS_VALUE","Barbados","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.345","-1.903","-1.682","-1.59","-0.351"
"IMF.RES:WEO(6.0.0)","BGD.GGXCNL_NGDP.A","OBS_VALUE","Bangladesh","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.555","-4.117","-4.578","-4.641","-4.199"
"IMF.RES:WEO(6.0.0)","BEL.NGDPD.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","601.305","584.073","632.399","662.183","689.364"
"IMF.RES:WEO(6.0.0)","BIH.GGXCNL_NGDP.A","OBS_VALUE","Bosnia and Herzegovina","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.61","0.922","-1.704","-2.472","-2.484"
"IMF.RES:WEO(6.0.0)","BIH.NGDPD.A","OBS_VALUE","Bosnia and Herzegovina","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","23.673","24.535","27.055","28.404","29.864"
"IMF.RES:WEO(6.0.0)","BOL.NGDPD.A","OBS_VALUE","Bolivia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","40.701","44.329","45.468","48.172","51.302"
"IMF.RES:WEO(6.0.0)","BOL.GGXCNL_NGDP.A","OBS_VALUE","Bolivia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-9.329","-7.122","-10.949","-10.436","-9.721"
"IMF.RES:WEO(6.0.0)","BWA.NGDPD.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","18.751","20.322","19.396","19.966","22.115"
"IMF.RES:WEO(6.0.0)","BLZ.GGXCNL_NGDP.A","OBS_VALUE","Belize","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.296","-0.482","-1.315","-0.909","-1.084"
"IMF.RES:WEO(6.0.0)","BTN.GGXCNL_NGDP.A","OBS_VALUE","Bhutan","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.76","-6.952","-4.752","-4.606","-4.407"
"IMF.RES:WEO(6.0.0)","BTN.NGDPD.A","OBS_VALUE","Bhutan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.623","2.869","2.908","3.151","3.516"
"IMF.RES:WEO(6.0.0)","BEL.GGXCNL_NGDP.A","OBS_VALUE","Belgium","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.404","-3.569","-4.441","-4.659","-5.148"
"IMF.RES:WEO(6.0.0)","BRN.GGXCNL_NGDP.A","OBS_VALUE","Brunei Darussalam","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-8.164","2.531","-10.84","-9.924","-9.15"
"IMF.RES:WEO(6.0.0)","BWA.GGXCNL_NGDP.A","OBS_VALUE","Botswana","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.367","0.036","-4.702","-5.921","-1.69"
"IMF.RES:WEO(6.0.0)","BGR.NGDPD.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","84.1","90.422","101.611","108.425","115.531"
"IMF.RES:WEO(6.0.0)","BRA.GGXCNL_NGDP.A","OBS_VALUE","Brazil","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.631","-3.965","-7.647","-6.931","-7.301"
"IMF.RES:WEO(6.0.0)","BRA.NGDPD.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1670.65","1951.849","2173.671","2188.419","2307.162"
"IMF.RES:WEO(6.0.0)","BRN.NGDPD.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.006","16.682","15.126","15.71","16.679"
