Entity,Code,Year,Annual greenhouse gas emissions in CO₂ equivalents
World,OWID_WRL,1850,4219061200
World,OWID_WRL,1851,4409311000
World,OWID_WRL,1852,4465078300
World,OWID_WRL,1853,4532813300
World,OWID_WRL,1854,4594583600
World,OWID_WRL,1855,4572071400
World,OWID_WRL,1856,4690924500
World,OWID_WRL,1857,4683661000
World,OWID_WRL,1858,4718894600
World,OWID_WRL,1859,4810028000
World,OWID_WRL,1860,4593481700
World,OWID_WRL,1861,4605667300
World,OWID_WRL,1862,4592632300
World,OWID_WRL,1863,4594464300
World,OWID_WRL,1864,4547105300
World,OWID_WRL,1865,4535310300
World,OWID_WRL,1866,4597011000
World,OWID_WRL,1867,4599316000
World,OWID_WRL,1868,4588681000
World,OWID_WRL,1869,4675858000
World,OWID_WRL,1870,4945148000
World,OWID_WRL,1871,5014069000
World,OWID_WRL,1872,5297401300
World,OWID_WRL,1873,5287834000
World,OWID_WRL,1874,5458159600
World,OWID_WRL,1875,5621640000
World,OWID_WRL,1876,5673683000
World,OWID_WRL,1877,5607008000
World,OWID_WRL,1878,5727372300
World,OWID_WRL,1879,5793445400
World,OWID_WRL,1880,6027994000
World,OWID_WRL,1881,6074859000
World,OWID_WRL,1882,6324752000
World,OWID_WRL,1883,6328190000
World,OWID_WRL,1884,6507302400
World,OWID_WRL,1885,6527370000
World,OWID_WRL,1886,6471709700
World,OWID_WRL,1887,6688979500
World,OWID_WRL,1888,6707763000
World,OWID_WRL,1889,6833890300
World,OWID_WRL,1890,7247878000
World,OWID_WRL,1891,7542617600
World,OWID_WRL,1892,7510893600
World,OWID_WRL,1893,7691345400
World,OWID_WRL,1894,7778905600
World,OWID_WRL,1895,7894431000
World,OWID_WRL,1896,7899118600
World,OWID_WRL,1897,8156441000
World,OWID_WRL,1898,8223389700
World,OWID_WRL,1899,8505797000
World,OWID_WRL,1900,8691973000
World,OWID_WRL,1901,8804860000
World,OWID_WRL,1902,8971303000
World,OWID_WRL,1903,9167074000
World,OWID_WRL,1904,9294472000
World,OWID_WRL,1905,9621012000
World,OWID_WRL,1906,9775443000
World,OWID_WRL,1907,10097672000
World,OWID_WRL,1908,10077375000
World,OWID_WRL,1909,10333530000
World,OWID_WRL,1910,10307977000
World,OWID_WRL,1911,10461305000
World,OWID_WRL,1912,10507465000
World,OWID_WRL,1913,10655274000
World,OWID_WRL,1914,10391972000
World,OWID_WRL,1915,10335395000
World,OWID_WRL,1916,10589467000
World,OWID_WRL,1917,10808521000
World,OWID_WRL,1918,10762877000
World,OWID_WRL,1919,10205527000
World,OWID_WRL,1920,10903476000
World,OWID_WRL,1921,10669232000
World,OWID_WRL,1922,10836915000
World,OWID_WRL,1923,11464264000
World,OWID_WRL,1924,11524160000
World,OWID_WRL,1925,11588408000
World,OWID_WRL,1926,11550636000
World,OWID_WRL,1927,12000633000
World,OWID_WRL,1928,11979465000
World,OWID_WRL,1929,12288142000
World,OWID_WRL,1930,12089384000
World,OWID_WRL,1931,11823244000
World,OWID_WRL,1932,11523510000
World,OWID_WRL,1933,11804024000
World,OWID_WRL,1934,12206737000
World,OWID_WRL,1935,12362917000
World,OWID_WRL,1936,12856831000
World,OWID_WRL,1937,13279804000
World,OWID_WRL,1938,13073998000
World,OWID_WRL,1939,13315615000
World,OWID_WRL,1940,13902011000
World,OWID_WRL,1941,14365789000
World,OWID_WRL,1942,14454576000
World,OWID_WRL,1943,14616533000
World,OWID_WRL,1944,14792170000
World,OWID_WRL,1945,13952066000
World,OWID_WRL,1946,14398192000
World,OWID_WRL,1947,15127643000
World,OWID_WRL,1948,15441084000
World,OWID_WRL,1949,15218637000
World,OWID_WRL,1950,16669636000
World,OWID_WRL,1951,17591742000
World,OWID_WRL,1952,17698888000
World,OWID_WRL,1953,18106272000
World,OWID_WRL,1954,18767930000
World,OWID_WRL,1955,19766900000
World,OWID_WRL,1956,20498287000
World,OWID_WRL,1957,21006020000
World,OWID_WRL,1958,21251504000
World,OWID_WRL,1959,22477308000
World,OWID_WRL,1960,22127307000
World,OWID_WRL,1961,22371980000
World,OWID_WRL,1962,22341622000
World,OWID_WRL,1963,22862530000
World,OWID_WRL,1964,23258208000
World,OWID_WRL,1965,23714190000
World,OWID_WRL,1966,24118213000
World,OWID_WRL,1967,24786098000
World,OWID_WRL,1968,25522776000
World,OWID_WRL,1969,27101106000
World,OWID_WRL,1970,28266830000
World,OWID_WRL,1971,28280381000
World,OWID_WRL,1972,29437508000
World,OWID_WRL,1973,30340880000
World,OWID_WRL,1974,30245190000
World,OWID_WRL,1975,30411125000
World,OWID_WRL,1976,31535469000
World,OWID_WRL,1977,32603044000
